Unnamed: 0,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,salary
18595,60,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,0
21016,36,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,50,United-States,1
11370,51,Private,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,0
16135,21,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Female,40,United-States,0
4298,25,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,35,United-States,0
17389,42,Private,HS-grad,9,Separated,Transport-moving,Other-relative,Black,Male,40,United-States,0
103,20,Private,Some-college,10,Never-married,Tech-support,Own-child,White,Female,40,United-States,0
6815,45,Private,HS-grad,9,Separated,Tech-support,Not-in-family,White,Female,26,United-States,0
13803,63,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1
30889,17,Private,12th,8,Never-married,Other-service,Own-child,White,Male,35,United-States,0
27052,47,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,56,United-States,1
29824,18,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,40,United-States,0
16499,69,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,10,United-States,0
23992,43,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,35,United-States,0
16574,24,Private,5th-6th,3,Never-married,Machine-op-inspct,Other-relative,White,Female,40,Mexico,0
1047,23,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,0
11442,33,Private,Assoc-acdm,12,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0
14381,75,Self-emp-inc,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,26,United-States,0
29389,30,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0
23026,47,Private,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Female,40,United-States,0
26044,42,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,0
12143,31,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,United-States,1
7384,37,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,0
19664,52,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0
24826,39,State-gov,Doctorate,16,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,1
30472,40,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0
24274,67,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,58,United-States,1
22807,53,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,25,United-States,0
13993,33,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,40,United-States,0
31317,23,Private,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,40,United-States,0
10327,48,Self-emp-not-inc,Prof-school,15,Divorced,Prof-specialty,Unmarried,White,Male,63,United-States,1
2557,22,Local-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,21,United-States,0
25171,28,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,36,United-States,0
10306,28,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,48,United-States,0
14657,33,Private,Some-college,10,Divorced,Tech-support,Not-in-family,White,Female,40,United-States,0
9556,44,Private,Masters,14,Separated,Sales,Unmarried,White,Female,48,United-States,0
9535,27,State-gov,Some-college,10,Separated,Other-service,Not-in-family,White,Female,30,United-States,0
2854,27,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,0
31901,33,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,40,United-States,0
10476,56,Private,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,1
27462,61,Private,Some-college,10,Never-married,Tech-support,Own-child,White,Male,16,United-States,0
19957,59,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,70,United-States,0
17745,62,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,1
12258,50,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,1
3904,69,Private,11th,7,Married-civ-spouse,Adm-clerical,Husband,White,Male,20,United-States,0
25145,52,Private,7th-8th,4,Married-civ-spouse,Other-service,Husband,White,Male,48,Cuba,0
17200,50,Private,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,45,United-States,1
3590,23,Private,Some-college,10,Never-married,Tech-support,Not-in-family,White,Male,48,United-States,0
23957,29,Federal-gov,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,40,United-States,1
4809,33,Private,Some-college,10,Never-married,Tech-support,Own-child,White,Male,20,United-States,0
14112,23,Federal-gov,Some-college,10,Never-married,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,40,United-States,0
2621,25,Private,Masters,14,Never-married,Sales,Not-in-family,White,Male,20,United-States,0
10355,47,Federal-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Black,Male,50,United-States,1
18932,63,Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,60,United-States,1
9815,20,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,40,United-States,0
12957,51,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,63,United-States,0
18222,42,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,0
14884,78,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,25,United-States,0
10474,38,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0
2290,18,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,15,United-States,0
24030,47,Private,Some-college,10,Married-spouse-absent,Exec-managerial,Unmarried,White,Female,35,Puerto-Rico,0
9814,45,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1
15038,19,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,16,United-States,0
11882,39,Private,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,Black,Female,40,United-States,0
11727,17,Private,11th,7,Never-married,Machine-op-inspct,Own-child,Other,Male,12,United-States,0
442,24,Federal-gov,HS-grad,9,Never-married,Armed-Forces,Own-child,White,Male,40,United-States,0
7107,33,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,0
16280,27,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,0
23318,36,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,1
2381,17,Private,11th,7,Never-married,Craft-repair,Own-child,White,Male,10,United-States,0
22293,45,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,70,United-States,1
27840,35,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,1
3066,20,Private,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,30,United-States,0
30686,33,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0
32331,50,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,45,United-States,0
11201,62,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,72,United-States,1
11103,35,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1
18283,38,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0
17253,24,Private,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,98,United-States,0
24467,27,Private,Assoc-voc,11,Never-married,Exec-managerial,Own-child,White,Male,40,United-States,0
17974,46,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,65,United-States,1
5005,40,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,0
10344,33,Self-emp-not-inc,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,1
28163,24,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,30,United-States,0
25856,42,Self-emp-not-inc,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,40,United-States,0
23654,34,Self-emp-inc,Bachelors,13,Divorced,Farming-fishing,Not-in-family,White,Male,60,United-States,0
26716,43,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,55,United-States,1
12425,55,Private,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,0
4828,31,Private,11th,7,Divorced,Other-service,Not-in-family,White,Female,40,United-States,0
16646,21,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,50,United-States,0
9702,26,State-gov,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,Black,Female,8,United-States,0
22535,52,Private,11th,7,Widowed,Craft-repair,Not-in-family,White,Male,40,United-States,0
14152,37,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,50,Germany,1
22754,71,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,52,United-States,0
4408,52,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,0
17980,36,Private,Some-college,10,Divorced,Machine-op-inspct,Own-child,White,Female,30,United-States,0
1800,28,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,0
31281,46,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,0
19450,44,Self-emp-inc,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,1
15063,47,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,60,United-States,0
18364,30,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1
23343,36,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,1
17425,20,Local-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,30,United-States,0
16625,59,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male,60,United-States,0
27629,55,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,25,United-States,0
3336,33,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,1
9952,30,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,17,Taiwan,0
24953,30,Self-emp-not-inc,Some-college,10,Never-married,Sales,Own-child,White,Male,25,United-States,0
16037,22,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0
28700,40,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,1
17176,40,Private,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,40,Scotland,0
11007,52,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1
10963,52,Local-gov,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0
12090,65,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,25,United-States,0
2443,23,Private,Assoc-acdm,12,Never-married,Craft-repair,Other-relative,White,Male,40,United-States,0
6899,26,Private,11th,7,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,0
1236,34,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,24,United-States,0
29654,50,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,1
28815,55,Local-gov,12th,8,Widowed,Adm-clerical,Not-in-family,White,Female,40,United-States,0
21207,26,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,0
7040,56,Private,11th,7,Divorced,Sales,Not-in-family,White,Female,40,United-States,0
5137,49,Self-emp-inc,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,1
20445,24,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,40,United-States,0
22733,49,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,1
30570,25,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,0
32061,59,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,0
7592,45,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,0
20839,19,Private,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,White,Male,40,United-States,0
28861,19,Private,10th,6,Never-married,Handlers-cleaners,Other-relative,White,Male,45,United-States,0
24839,44,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1
13044,45,Private,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,40,United-States,0
15504,23,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,40,United-States,0
8115,25,Private,HS-grad,9,Separated,Other-service,Unmarried,Black,Male,40,United-States,0
24614,57,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,25,United-States,1
32511,25,Local-gov,Bachelors,13,Never-married,Adm-clerical,Own-child,Black,Female,40,United-States,0
19978,20,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,30,United-States,0
24159,29,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,0
8933,76,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,10,United-States,0
6843,45,Private,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,42,United-States,1
27639,34,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1
13402,27,Private,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,35,United-States,0
14351,30,Federal-gov,Bachelors,13,Never-married,Protective-serv,Not-in-family,White,Female,60,United-States,1
10209,32,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,40,United-States,0
18505,25,Federal-gov,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Male,40,United-States,0
2682,61,Local-gov,Bachelors,13,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,40,United-States,0
23256,63,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,1
10680,34,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,0
23111,56,Local-gov,12th,8,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,0
29818,24,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,40,United-States,0
21185,37,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,0
5690,45,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0
30035,27,Private,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,40,United-States,0
31321,59,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,1
22139,39,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Wife,White,Female,50,United-States,0
10984,19,Self-emp-not-inc,HS-grad,9,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,30,United-States,0
18634,45,Private,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,Black,Female,40,United-States,0
28863,41,Private,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,0
13989,76,Private,HS-grad,9,Widowed,Other-service,Not-in-family,White,Male,17,United-States,0
10392,39,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0
21326,20,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,20,United-States,0
21354,46,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0
3781,23,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0
5103,54,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,0
10100,27,Self-emp-inc,9th,5,Never-married,Craft-repair,Own-child,White,Male,40,United-States,0
22456,32,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,40,United-States,1
9786,30,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,0
29714,26,Private,Assoc-acdm,12,Never-married,Other-service,Own-child,Black,Female,15,United-States,0
2330,53,Federal-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,40,Philippines,1
31441,23,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,20,United-States,0
30794,19,Local-gov,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,35,United-States,0
13986,40,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,40,United-States,0
18916,31,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1
12785,25,Private,HS-grad,9,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Male,40,Poland,0
30172,31,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,35,United-States,0
662,27,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,0
8606,30,Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,40,United-States,0
15536,21,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,Black,Male,48,Mexico,0
7069,46,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,40,United-States,0
27787,37,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,0
5833,26,Private,Some-college,10,Never-married,Exec-managerial,Own-child,Black,Female,40,United-States,0
699,19,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,20,United-States,0
1597,37,Private,Bachelors,13,Never-married,Sales,Not-in-family,Black,Female,40,United-States,0
14144,57,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Other-service,Husband,White,Male,40,Iran,0
24074,42,Local-gov,Bachelors,13,Divorced,Transport-moving,Not-in-family,White,Male,33,United-States,0
17911,32,Private,10th,6,Divorced,Machine-op-inspct,Not-in-family,White,Male,40,United-States,0
30140,21,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,25,United-States,0
30807,62,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,90,United-States,1
8515,18,Private,12th,8,Never-married,Other-service,Own-child,White,Female,32,United-States,0
13367,52,Private,Bachelors,13,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,42,United-States,0
5813,53,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1
13855,50,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,1
15300,54,Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States,0
16343,43,Private,Assoc-voc,11,Divorced,Prof-specialty,Not-in-family,White,Male,48,United-States,0
17935,23,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0
24069,22,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,0
7101,37,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,56,United-States,0
15021,40,Federal-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,45,United-States,0
22891,23,Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,40,United-States,0
17028,43,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Female,32,United-States,1
26434,24,Private,Some-college,10,Never-married,Craft-repair,Own-child,White,Female,45,United-States,0
21440,31,Private,Assoc-acdm,12,Divorced,Exec-managerial,Not-in-family,White,Male,40,United-States,0
6806,18,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,15,United-States,0
29021,28,Private,HS-grad,9,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,40,United-States,0
16209,25,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,0
26985,38,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1
28099,40,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,30,United-States,1
23414,36,Private,11th,7,Separated,Exec-managerial,Not-in-family,White,Female,32,United-States,0
22647,36,Self-emp-inc,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,60,United-States,0
32466,37,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,1
28514,51,Private,Bachelors,13,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,0
26798,20,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,35,United-States,0
25444,56,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,0
387,44,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,6,United-States,1
22859,29,State-gov,Assoc-voc,11,Divorced,Adm-clerical,Own-child,White,Male,40,United-States,0
14881,36,Private,Bachelors,13,Divorced,Tech-support,Unmarried,White,Male,20,United-States,0
3169,41,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,35,United-States,0
25304,39,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,55,United-States,0
2392,35,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,0
29328,60,Private,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1
7449,26,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,38,United-States,0
6950,38,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,0
29283,26,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,45,United-States,0
18276,50,Private,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,60,United-States,0
27775,57,Private,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,Black,Male,50,United-States,0
4517,47,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,0
8604,43,Local-gov,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1
